Date,Close,High,Low,Open,Volume
2016-05-20,7749.7,7812.4,7735.75,7792.2,157000
2016-05-23,7731.05,7820.6,7722.2,7813.95,172000
2016-05-24,7748.85,7761.55,7715.8,7738.05,147000
2016-05-25,7934.9,7941.2,7809.3,7811.8,176200
2016-05-26,8069.65,8083.0,7948.5,7974.45,264300
2016-05-27,8156.65,8164.2,8077.05,8081.95,260900
2016-05-30,8178.5,8200.0,8150.8,8166.5,247400
2016-05-31,8160.1,8213.6,8134.3,8209.85,471000
2016-06-01,8179.95,8215.35,8171.05,8179.2,194400
2016-06-02,8218.95,8229.5,8154.75,8156.9,181700
2016-06-03,8220.8,8262.0,8209.85,8246.2,379000
2016-06-06,8201.05,8234.7,8186.05,8228.75,171600
2016-06-07,8266.45,8294.95,8216.4,8235.55,241900
2016-06-08,8273.05,8288.9,8252.05,8285.5,174300
2016-06-09,8203.6,8273.35,8184.6,8273.35,174900
2016-06-10,8170.05,8265.6,8162.85,8180.25,182200
2016-06-13,8110.6,8125.25,8063.9,8102.25,169700
2016-06-14,8108.85,8134.95,8069.5,8134.4,145500
2016-06-15,8206.6,8213.2,8123.15,8139.4,169800
2016-06-16,8140.75,8180.65,8074.45,8180.65,189200
2016-06-17,8170.2,8195.25,8135.8,8176.65,166600
2016-06-20,8238.5,8244.15,8107.35,8115.75,168600
2016-06-21,8219.9,8257.25,8202.15,8255.4,137000
2016-06-22,8203.7,8238.35,8153.25,8213.65,136100
2016-06-23,8270.45,8285.6,8188.3,8201.15,154100
2016-06-24,8088.6,8100.7,7927.05,8029.1,297600
2016-06-27,8094.7,8120.65,8039.35,8039.35,162500
2016-06-28,8127.85,8146.35,8086.85,8096.05,170400
2016-06-29,8204.0,8212.4,8157.65,8173.1,147000
2016-06-30,8287.75,8308.15,8242.1,8260.25,279400
2016-07-01,8328.35,8356.75,8308.65,8313.05,165500
2016-07-04,8370.7,8398.45,8364.7,8376.75,154200
2016-07-05,8335.95,8381.45,8319.95,8379.3,139000
2016-07-07,8337.9,8361.95,8317.7,8342.0,155500
2016-07-08,8323.2,8353.3,8287.55,8350.0,137900
2016-07-11,8467.9,8475.25,8407.05,8413.35,149800
2016-07-12,8521.05,8526.6,8479.2,8502.6,183600
2016-07-13,8519.5,8550.25,8493.55,8540.45,195500
2016-07-14,8565.0,8571.4,8500.7,8515.75,153900
2016-07-15,8541.4,8594.8,8510.05,8565.45,221700
2016-07-18,8508.7,8587.1,8494.35,8564.05,164300
2016-07-19,8528.55,8540.05,8476.7,8514.3,167900
2016-07-20,8565.85,8569.9,8512.55,8515.45,160300
2016-07-21,8510.1,8585.25,8503.45,8582.7,150000
2016-07-22,8541.2,8548.95,8489.8,8519.65,143200
2016-07-25,8635.65,8641.15,8517.2,8519.95,150000
2016-07-26,8590.65,8644.9,8577.15,8633.75,154800
2016-07-27,8615.8,8665.0,8572.05,8599.4,184100
2016-07-28,8666.3,8674.7,8625.25,8636.95,233500
2016-07-29,8638.5,8670.35,8631.15,8668.3,157000
2016-08-01,8636.55,8711.3,8590.5,8654.3,188400
2016-08-02,8622.9,8687.2,8611.4,8647.45,169400
2016-08-03,8544.85,8635.45,8529.6,8635.2,163000
2016-08-04,8551.1,8601.4,8518.15,8599.95,164700
2016-08-05,8683.15,8689.4,8590.15,8600.2,157900
2016-08-08,8711.35,8723.5,8697.6,8712.85,172600
2016-08-09,8678.25,8728.35,8638.2,8727.8,200100
2016-08-10,8575.3,8690.1,8564.6,8686.7,173600
2016-08-11,8592.15,8601.15,8540.05,8572.8,189200
2016-08-16,8642.55,8682.35,8600.45,8670.25,224800
